C,1736995028.90581
CAT,1736995028.905911
GEV,1736995028.906802
GS,1736995028.906976
IT,1736995028.907305
TPX,1736995028.908135
WFC,1736995028.908296
GOOG,1737037955.866154
ISRG,1737037955.866282
NNOX,1737037955.867242
WBA,1737124244.151408
EXEL,1737436455.106663
KMI,1737436455.107183
SNPS,1737436455.107578
BKSY,1737469898.40403
CXW,1737469898.404344
DHI,1737469898.404668
JD,1737469898.405614
MMM,1737469898.406489
MOS,1737469898.406833
MTCH,1737469898.407097
NU,1737469898.407443
NXPI,1737469898.407716
VTI,1737469898.408989
XOM,1737469898.409316
GH,1737470218.410555
SCHW,1737470218.411118
RDW,1737470857.005711
EOLS,1737472771.059059
RXRX,1737474689.842502
AMD,1737477891.505827
SMMT,1737478212.148472
VRT,1737484601.136057
